#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
1,USA,"3,45,40,866",21,"6,20,250",1,"2,90,26,688",,"48,93,928","3,891","1,03,747","1,863","50,61,59,128","15,20,297","33,29,34,343"
117,DRC,"41,353",112,933,5,"28,422",10,"11,998",,448,10,"2,02,242","2,192","9,22,53,325"
118,Rwanda,"39,047",,438,,"27,272",,"11,337",39,"2,942",33,"16,41,582","1,23,705","1,32,70,151"
119,Angola,"38,849",,900,,"33,242",,"4,707",11,"1,147",27,"6,48,883","19,154","3,38,76,821"
120,Sudan,"36,658",,"2,754",,"30,516",,"3,388",,817,61,"2,34,414","5,225","4,48,63,481"
121,Malawi,"36,126",,"1,196",,"33,169",,"1,761",54,"1,841",61,"2,68,117","13,666","1,96,19,300"
122,Trinidad and Tobago,"32,793",,847,,"24,821",,"7,125",22,"23,357",603,"2,31,508","1,64,892","14,04,001"
123,Cabo Verde,"32,524",,286,,"31,625",,613,23,"57,873",509,"1,72,789","3,07,459","5,61,990"
124,Australia,"30,642",31,910,,"29,358",,374,1,"1,188",35,"2,08,04,647","8,06,572","2,57,93,922"
125,Malta,"30,627",4,420,,"30,161",3,46,,"69,180",949,"9,88,157","22,32,044","4,42,714"
126,Réunion,"30,583",,237,,"28,585",,"1,761",32,"33,918",263,"1,02,720","1,13,922","9,01,669"
127,French Guiana,"27,536",,145,,"9,995",,"17,396",40,"89,885",473,"2,88,226","9,40,851","3,06,346"
128,Syria,"25,515",,"1,876",,"21,825",,"1,814",,"1,424",105,"1,03,566","5,779","1,79,21,696"
129,Gabon,"25,054",,159,,"24,729",,166,9,"10,999",70,"8,88,883","3,90,245","22,77,757"
130,Guinea,"23,770",,171,,"22,456",,"1,143",24,"1,763",13,"4,68,438","34,737","1,34,85,302"
131,Suriname,"21,732",,522,,"17,657",,"3,553",33,"36,718",882,"79,433","1,34,209","5,91,859"
132,Mauritania,"20,808",,489,,"19,790",,529,16,"4,362",103,"3,07,551","64,468","47,70,629"
133,Guyana,"20,055",,469,,"18,040",,"1,546",12,"25,375",593,"1,88,859","2,38,962","7,90,330"
